#{"t_start": 1765814036.863905, "env_id": "MiniGrid-DoorKey-5x5-v0"}
r,l,t
0.0,250,0.104147
0.0,250,0.199304
0.0,250,0.321665
0.0,250,0.419198
0.0,250,0.513704
0.0,250,0.608835
0.0,250,0.703006
0.0,250,0.797303
0.0,250,3.483736
0.0,250,3.578591
0.0,250,3.673898
0.0,250,3.768749
0.0,250,3.863259
0.6184,106,3.903288
0.0,250,3.997616
0.0,250,4.092732
0.0,250,6.666101
0.0,250,6.762809
0.0,250,6.858229
0.0,250,6.953216
0.0,250,7.048
0.0,250,7.143318
0.0,250,7.238607
0.4492,153,7.296715
0.0,250,7.391724
0.442,155,9.969848
0.0,250,10.064652
0.406,165,10.127314
0.0,250,10.222187
0.0,250,10.317579
0.6076,109,10.359205
0.0,250,10.455389
0.0,250,10.549874
0.0,250,10.643605
0.0,250,10.738021
0.3484,181,13.339682
0.262,205,13.418829
0.0,250,13.513409
0.0,250,13.608546
0.0,250,13.703831
0.0,250,13.7993
0.244,210,13.878934
0.0,250,13.97344
0.0,250,16.591979
0.0,250,16.687925
0.5824,116,16.732545
0.0,250,16.827924
0.0,250,16.922517
0.1828,227,17.008474
0.478,145,17.063048
0.0,250,17.157717
0.5644,121,17.203573
0.5608,122,17.2495
0.0,250,17.343683
0.3016,194,19.939828
0.7444,71,19.967354
0.244,210,20.047581
0.0,250,20.142666
0.0,250,20.23781
0.2116,219,20.321433
0.0,250,20.416971
0.0,250,20.512331
0.28,200,20.594711
0.0,250,23.204523
0.0,250,23.301073
0.1612,233,23.390991
0.6256,104,23.43128
0.0,250,23.525502
0.0,250,23.620462
0.5068,137,23.672889
0.8668,37,23.687066
0.3952,168,23.750721
0.0,250,23.845744
0.0,250,23.940072
0.802,55,26.480868
0.7768,62,26.505078
0.3088,192,26.577511
0.7696,64,26.601713
0.2548,207,26.680199
0.7372,73,26.707733
0.7804,61,26.730812
0.7516,69,26.756963
0.154,235,26.846375
0.388,170,26.910906
0.7084,81,26.941469
0.6688,92,26.976215
0.8344,46,26.993485
0.4996,139,27.045806
0.1684,231,27.132817
0.3664,176,27.198845
0.7984,56,27.220065
0.6868,87,29.70823
0.7516,69,29.735184
0.8668,37,29.749381
0.568,120,29.795414
0.9208,22,29.804023
0.748,70,29.830685
0.604,110,29.872722
0.3592,178,29.940081
0.55,125,29.987429
0.6904,86,30.020222
0.6004,111,30.062343
0.4384,156,30.121075
0.8416,44,30.137668
0.712,80,30.168158
0.8884,31,30.180067
0.6544,96,30.216475
0.3772,173,30.281801
0.91,25,30.291405
0.5572,123,30.337841
0.5464,126,30.385632
0.7984,56,30.407396
0.6868,87,30.440304
0.7264,76,30.469192
0.5968,112,33.044823
0.8596,39,33.060057
0.766,65,33.085057
0.82,50,33.104081
0.6328,102,33.142601
0.6652,93,33.178031
0.55,125,33.225803
0.9496,14,33.23116
0.8344,46,33.248844
0.8452,43,33.265202
0.5572,123,33.311369
0.9172,23,33.320175
0.8092,53,33.340381
0.8272,48,33.358678
0.8992,28,33.369321
0.8056,54,33.390518
0.6976,84,33.423152
0.748,70,33.44967
0.8452,43,33.466259
0.7768,62,33.489794
0.874,35,33.5031
0.7624,66,33.528042
0.8776,34,33.541094
0.8704,36,33.55463
0.5896,114,33.597706
0.7804,61,33.620768
0.8956,29,33.631876
0.874,35,33.645236
