#{"t_start": 1765811337.949697, "env_id": "MiniGrid-DoorKey-5x5-v0"}
r,l,t
0.0,250,0.611543
0.0,250,0.704
0.0,250,0.79599
0.478,145,0.849725
0.0,250,0.941427
0.4708,147,0.997992
0.0,250,1.089403
0.0,250,1.182567
0.0,250,1.275449
0.0,250,3.623067
0.0,250,3.714978
0.0,250,3.809508
0.0,250,3.904215
0.0,250,4.010109
0.0,250,4.112309
0.0,250,4.211593
0.0,250,4.304718
0.0,250,6.718589
0.4132,163,6.779249
0.0,250,6.871085
0.0,250,6.966585
0.0,250,7.058801
0.0,250,7.151658
0.0,250,7.244244
0.0,250,7.336595
0.0,250,9.773711
0.0,250,9.866634
0.2764,201,9.947902
0.0,250,10.040031
0.0,250,10.143616
0.0,250,10.237039
0.0,250,10.329319
0.0,250,10.423238
0.0,250,10.518048
0.0,250,12.954817
0.0,250,13.047435
0.0,250,13.139228
0.0,250,13.231491
0.0,250,13.323677
0.0,250,13.416181
0.0,250,13.511127
0.0,250,13.608362
0.0,250,16.048341
0.0,250,16.146278
0.0,250,16.240359
0.0,250,16.333081
0.496,140,16.386681
0.0,250,16.478869
0.6508,97,16.515045
0.0,250,16.611475
0.0,250,16.703819
0.676,90,16.737154
0.2188,217,19.164488
0.0,250,19.256824
0.0,250,19.349574
0.6904,86,19.394118
0.0,250,19.488059
0.7048,82,19.519036
0.2656,204,19.594506
0.0,250,19.685624
0.0,250,19.777339
0.244,210,19.855087
0.0,250,22.181065
0.0,250,22.273034
0.5716,119,22.317159
0.0,250,22.410241
0.0,250,22.502084
0.0,250,22.597815
0.2944,196,22.670012
0.0,250,22.76164
0.0,250,22.852824
0.4096,164,25.358125
0.4312,158,25.419437
0.0,250,25.514809
0.6832,88,25.552681
0.0,250,25.669897
0.6976,84,25.707865
0.55,125,25.764751
0.0,250,25.866763
0.6148,107,25.910044
0.1972,223,25.997223
0.604,110,26.037856
0.0,250,26.133254
0.7552,68,28.546254
0.0,250,28.641825
0.4168,162,28.710368
0.3952,168,28.772193
0.0,250,28.864067
0.7516,69,28.889765
0.478,145,28.942278
0.5428,127,28.988693
0.0,250,29.079985
0.334,185,29.147744
0.1396,239,29.234923
0.2008,222,31.59223
0.0,250,31.686458
0.5932,113,31.730628
0.2188,217,31.81175
0.0,250,31.904333
0.6472,98,31.941076
0.7804,61,31.963792
0.568,120,32.007813
0.5608,122,32.052342
0.6328,102,32.09006
0.0,250,32.181843
0.6688,92,32.215728
0.6076,109,32.256481
0.2476,209,34.791741
0.7372,73,34.819934
0.73,75,34.848472
0.7372,73,34.875518
0.7876,59,34.898433
0.6364,101,34.939089
0.5032,138,34.991332
0.892,30,35.002985
0.0,250,35.098513
0.5788,117,35.159452
0.7372,73,35.187732
0.9028,27,35.197981
0.8524,41,35.213634
0.8704,36,35.227444
0.0,250,35.322622
0.4204,161,35.384733
0.8704,36,35.398109
0.0,250,35.490703
0.0,250,35.582963
0.0,250,37.936452
0.8992,28,37.947143
0.8992,28,37.957672
0.7948,57,37.978653
0.514,135,38.028709
0.7192,78,38.057579
0.8848,32,38.069363
0.8272,48,38.087194
0.226,215,38.165411
0.8884,31,38.177039
0.424,160,38.236207
0.8884,31,38.247697
0.7552,68,38.272835
0.7876,59,38.29486
0.748,70,38.3208
0.7156,79,38.351238
0.5572,123,38.397602
0.8812,33,38.409874
0.5572,123,38.454831
0.0,250,38.546855
0.7084,81,38.577103
0.0,250,41.016696
0.7948,57,41.038118
0.91,25,41.047463
0.8776,34,41.060212
0.73,75,41.089105
0.8992,28,41.100959
0.8524,41,41.118155
0.7984,56,41.141168
0.7624,66,41.169703
0.8596,39,41.185454
0.7552,68,41.214463
0.7876,59,41.239163
0.8884,31,41.252319
0.8704,36,41.267701
0.8704,36,41.282687
0.8308,47,41.301766
0.8164,51,41.322163
0.5968,112,41.369246
0.8884,31,41.382262
0.8812,33,41.39483
0.8992,28,41.405831
0.7876,59,41.428248
0.802,55,41.448743
0.8524,41,41.464885
0.6976,84,41.497401
0.8272,48,41.515365
0.6868,87,41.547999
0.7876,59,41.57089
0.9244,21,41.579333
0.8488,42,41.595262
0.8884,31,41.606744
0.874,35,41.619642
0.8524,41,41.63483
0.9316,19,41.641933
0.8344,46,41.659003
0.6688,92,41.693597
0.7876,59,41.715626
0.9064,26,41.725641
0.748,70,41.751431
0.7192,78,44.003426
0.9064,26,44.013274
0.8848,32,44.025248
0.9352,18,44.03199
0.9208,22,44.040252
0.7696,64,44.064288
0.8308,47,44.081615
0.82,50,44.100446
0.8704,36,44.113828
0.9064,26,44.123401
0.91,25,44.132574
0.9316,19,44.139597
0.8632,38,44.153631
0.7768,62,44.176757
0.8668,37,44.190423
0.658,95,44.225277
0.9136,24,44.234286
0.91,25,44.243542
0.6832,88,44.276495
0.838,45,44.293032
0.9424,16,44.299036
0.928,20,44.306528
0.9424,16,44.312638
0.5284,131,44.360783
0.8776,34,44.373722
0.8776,34,44.38633
0.7732,63,44.40961
0.8344,46,44.426604
0.0,250,44.516855
0.9568,12,44.521552
0.8632,38,44.535457
0.8632,38,44.549464
0.8992,28,44.559768
0.874,35,44.572659
0.9064,26,44.582325
0.8344,46,44.599082
0.946,15,44.604631
0.8884,31,44.616049
0.8344,46,44.632922
0.9316,19,44.639874
0.9244,21,44.647821
0.7948,57,44.668743
0.928,20,44.676012
0.892,30,44.686996
0.7984,56,44.707594
0.9352,18,44.7142
0.8416,44,44.730451
0.8632,38,47.042022
0.8668,37,47.056966
0.9352,18,47.063866
0.892,30,47.07503
0.9028,27,47.085123
0.9316,19,47.092642
0.9424,16,47.098662
0.892,30,47.109871
0.928,20,47.117406
0.8992,28,47.12786
0.8848,32,47.139888
0.9064,26,47.1498
0.8848,32,47.161662
0.9136,24,47.175539
0.9244,21,47.184244
0.8848,32,47.203953
0.964,10,47.212289
0.9532,13,47.219057
0.9388,17,47.227384
0.0,250,47.334992
0.8524,41,47.354833
0.9208,22,47.365034
0.8884,31,47.378581
0.8848,32,47.39202
0.9208,22,47.401174
0.8848,32,47.414652
0.91,25,47.425196
0.8812,33,47.438508
0.8596,39,47.454316
0.8272,48,47.474085
0.9244,21,47.482674
0.8524,41,47.499369
0.8956,29,47.511206
0.9244,21,47.519835
0.8164,51,47.540615
0.8452,43,47.558092
0.8668,37,47.573007
0.8596,39,47.588543
0.7624,66,47.614718
0.928,20,47.622923
0.8632,38,47.637601
0.8236,49,47.667681
0.9136,24,47.676942
0.9388,17,47.683747
0.9316,19,47.691866
0.9208,22,47.701033
0.9352,18,47.708166
0.9316,19,47.716043
0.8092,53,47.737161
0.8776,34,47.750446
0.8452,43,47.767647
0.8668,37,47.781706
0.9064,26,47.791348
0.8704,36,47.804488
0.928,20,47.812012
0.8848,32,47.82404
0.928,20,47.831662
0.9568,12,47.836222
0.856,40,47.851124
0.9244,21,47.859681
0.928,20,47.868089
0.9136,24,47.878102
0.9136,24,50.165566
0.766,65,50.190068
0.874,35,50.20298
0.9136,24,50.212013
0.7084,81,50.241522
0.8272,48,50.25906
0.928,20,50.266503
0.8812,33,50.278743
0.9316,19,50.2859
0.9028,27,50.295982
0.8452,43,50.311888
0.91,25,50.321221
0.9352,18,50.32805
0.9208,22,50.33622
0.9424,16,50.342112
0.8632,38,50.357179
0.9028,27,50.367409
0.928,20,50.37492
0.9352,18,50.381691
0.9424,16,50.38774
0.9352,18,50.394532
0.8884,31,50.406028
0.8992,28,50.41655
0.8956,29,50.427261
0.8776,34,50.440041
0.874,35,50.453569
0.9136,24,50.462758
0.9496,14,50.468265
0.91,25,50.4776
0.91,25,50.486862
0.8884,31,50.498401
0.8956,29,50.509279
0.9388,17,50.5156
0.8992,28,50.526026
0.8668,37,50.53948
0.9388,17,50.545833
0.9532,13,50.550753
0.8848,32,50.562604
0.9604,11,50.566732
0.82,50,50.585169
0.9064,26,50.594814
0.8452,43,50.610741
0.8956,29,50.62141
0.784,60,50.643752
0.7444,71,50.670368
0.9424,16,50.67652
0.9064,26,50.686438
0.892,30,50.697984
0.7984,56,50.722601
0.8956,29,50.735142
0.8632,38,50.750864
0.928,20,50.758499
0.9064,26,50.768375
0.9388,17,50.774738
0.8956,29,50.785293
0.964,10,50.789097
0.9352,18,50.795861
0.9424,16,50.801832
0.8992,28,50.812174
0.9352,18,50.818974
0.9496,14,50.824191
0.9172,23,50.832674
0.964,10,50.836458
0.8128,52,50.855281
0.91,25,50.864521
0.9316,19,50.871511
0.8992,28,50.882077
0.856,40,50.896678
0.9316,19,50.904464
0.8704,36,50.918056
0.8488,42,50.934395
0.9424,16,53.233551
0.9424,16,53.239725
0.9604,11,53.244039
0.9064,26,53.253822
0.9604,11,53.258026
0.9424,16,53.264122
0.9532,13,53.269117
0.8956,29,53.280022
0.9244,21,53.288051
0.9532,13,53.293038
0.9568,12,53.297627
0.9028,27,53.307722
0.9424,16,53.313814
0.928,20,53.321266
0.9352,18,53.328188
0.928,20,53.335712
0.8992,28,53.346863
0.9496,14,53.352402
0.9208,22,53.360808
0.9604,11,53.365114
0.9496,14,53.370553
0.928,20,53.378049
0.928,20,53.385538
0.946,15,53.391134
0.9388,17,53.397579
0.9316,19,53.404771
0.9244,21,53.412597
0.9568,12,53.417109
0.8416,44,53.433966
0.9208,22,53.442149
0.9532,13,53.447087
0.9172,23,53.455608
0.9244,21,53.463406
0.9532,13,53.468351
0.9064,26,53.478035
0.8992,28,53.488454
0.91,25,53.497728
0.9244,21,53.505509
0.9136,24,53.514277
0.9064,26,53.5241
0.8596,39,53.538573
0.8956,29,53.549215
0.9172,23,53.557742
0.9172,23,53.566327
0.9064,26,53.575938
0.9388,17,53.582245
0.9532,13,53.587183
0.9136,24,53.596287
0.928,20,53.603648
0.7228,77,53.632002
0.838,45,53.648573
0.8164,51,53.667364
0.9316,19,53.674538
0.9352,18,53.68135
0.9532,13,53.686199
0.9496,14,53.691484
0.8524,41,53.707108
0.9172,23,53.718906
0.9028,27,53.73244
0.9316,19,53.740105
0.9532,13,53.745281
0.8956,29,53.756142
0.9604,11,53.760394
0.9136,24,53.769375
0.8668,37,53.78298
0.9712,8,53.78601
0.928,20,53.793431
0.9028,27,53.803435
0.9388,17,53.809729
0.9028,27,53.819828
0.928,20,53.827293
0.9568,12,53.831822
0.928,20,53.83941
0.9604,11,53.843656
0.9028,27,53.853553
0.91,25,53.862861
0.9028,27,53.872846
0.9568,12,53.877376
0.946,15,53.882977
0.874,35,53.896085
0.9316,19,53.903181
0.9496,14,53.908501
0.9424,16,53.914473
0.9604,11,53.918609
0.9244,21,53.926374
0.8272,48,53.944127
0.9208,22,53.952241
0.964,10,53.956011
0.892,30,53.966923
0.9676,9,53.970347
0.9496,14,53.975549
0.8812,33,53.987711
0.9136,24,53.996501
0.892,30,56.232667
0.892,30,56.244012
0.946,15,56.249783
0.9352,18,56.256644
0.6796,89,56.289209
0.9244,21,56.297189
0.946,15,56.302876
0.9424,16,56.308986
0.8992,28,56.319403
0.9532,13,56.324359
0.8956,29,56.33511
0.9424,16,56.341113
0.9496,14,56.346841
0.9496,14,56.352342
0.9496,14,56.357637
0.964,10,56.361478
0.9208,22,56.369832
0.946,15,56.375657
0.9676,9,56.379162
0.928,20,56.38665
0.964,10,56.390525
0.9568,12,56.395057
0.9496,14,56.400343
0.9172,23,56.408906
0.9352,18,56.415551
0.9352,18,56.422242
0.928,20,56.429765
0.91,25,56.439206
0.9352,18,56.446025
0.9136,24,56.454915
0.9388,17,56.461309
0.928,20,56.468798
0.9388,17,56.475164
0.9604,11,56.479323
0.9352,18,56.485963
0.9352,18,56.492709
0.9532,13,56.497562
0.9136,24,56.506639
0.9424,16,56.51262
0.9064,26,56.522189
0.9424,16,56.528149
0.8992,28,56.538629
0.9316,19,56.545667
0.9136,24,56.554695
0.9604,11,56.558812
0.91,25,56.56797
0.892,30,56.579044
0.9316,19,56.586066
0.8776,34,56.598665
0.9532,13,56.603448
0.8812,33,56.615633
0.9316,19,56.622677
0.9352,18,56.629324
0.8812,33,56.641466
0.928,20,56.648847
0.9424,16,56.654759
0.9136,24,56.663586
0.9352,18,56.670283
0.9388,17,56.676648
0.9208,22,56.684684
0.946,15,56.690325
0.9496,14,56.695575
0.8884,31,56.706934
0.9568,12,56.711385
0.8884,31,56.722787
0.9424,16,56.728761
0.9568,12,56.733297
0.928,20,56.74065
0.9532,13,56.745595
0.964,10,56.749382
0.8452,43,56.765274
0.946,15,56.77088
0.9028,27,56.780812
0.892,30,56.791909
0.9424,16,56.797833
0.9388,17,56.804142
0.8992,28,56.814487
0.9532,13,56.81934
0.91,25,56.828537
0.9424,16,56.834518
0.9388,17,56.840918
0.9496,14,56.846125
0.9352,18,56.852811
0.8848,32,56.864497
0.9352,18,56.871183
0.9316,19,56.878298
0.91,25,56.887509
0.946,15,56.893093
0.9496,14,56.898352
0.9352,18,56.905082
0.9388,17,56.9114
0.8956,29,56.922033
0.8884,31,56.933446
0.9352,18,56.940178
0.9244,21,56.948019
0.9208,22,56.956158
0.928,20,56.963511
0.9136,24,56.97238
0.9424,16,56.978322
0.9424,16,56.984261
0.8308,47,59.23375
0.9136,24,59.242867
0.9424,16,59.248916
0.9496,14,59.254166
0.9424,16,59.260214
0.9244,21,59.268034
0.9604,11,59.27227
0.9604,11,59.276514
0.9244,21,59.284427
0.9064,26,59.294096
0.9388,17,59.300476
0.9352,18,59.307188
0.946,15,59.312794
0.946,15,59.318436
0.9388,17,59.324763
0.9604,11,59.328955
0.964,10,59.332716
0.9604,11,59.33692
0.9208,22,59.345488
0.9568,12,59.350579
0.9496,14,59.356025
0.9424,16,59.362158
0.9244,21,59.370219
0.9496,14,59.375579
0.9712,8,59.378702
0.9388,17,59.385124
0.9532,13,59.389961
0.9316,19,59.396977
0.9244,21,59.404886
0.928,20,59.412282
0.946,15,59.417934
0.9352,18,59.424738
0.9496,14,59.429982
0.9316,19,59.437084
0.9496,14,59.442293
0.9388,17,59.448681
0.9496,14,59.454238
0.9172,23,59.462821
0.946,15,59.468531
0.9424,16,59.474483
0.964,10,59.478275
0.946,15,59.483853
0.9712,8,59.486897
0.946,15,59.492432
0.928,20,59.49986
0.9532,13,59.504746
0.9172,23,59.513225
0.9316,19,59.520228
0.9208,22,59.528351
0.9424,16,59.534293
0.9496,14,59.539634
0.9316,19,59.546627
0.9712,8,59.549639
0.9496,14,59.554829
0.9568,12,59.559301
0.9424,16,59.565212
0.964,10,59.568941
0.9208,22,59.577065
0.9604,11,59.581198
0.9424,16,59.587134
0.8956,29,59.59795
0.9532,13,59.602803
0.9496,14,59.608002
0.9388,17,59.614387
0.9532,13,59.619217
0.9496,14,59.624452
0.9316,19,59.631487
0.946,15,59.637045
0.9388,17,59.643367
0.9424,16,59.649324
0.9244,21,59.657069
0.9388,17,59.663499
0.928,20,59.670936
0.9316,19,59.677921
0.946,15,59.683525
0.8776,34,59.695937
0.9496,14,59.701199
0.9352,18,59.70792
0.9496,14,59.713222
0.9532,13,59.718069
0.9496,14,59.723249
0.9532,13,59.72811
0.9604,11,59.732216
0.9712,8,59.735283
0.9532,13,59.740083
0.892,30,59.751311
0.9136,24,59.760231
0.9244,21,59.767964
0.9424,16,59.773963
0.9532,13,59.778827
0.9676,9,59.782254
0.9496,14,59.787584
0.9604,11,59.79176
0.9568,12,59.796247
0.9388,17,59.802512
0.928,20,59.809929
0.9208,22,59.818136
0.9424,16,59.824124
0.9136,24,59.83302
0.9316,19,59.840013
0.9712,8,59.843066
0.9496,14,59.848346
0.9316,19,59.855458
0.9604,11,59.859583
0.9316,19,59.866568
0.9568,12,59.871027
0.9676,9,59.874468
0.9424,16,59.880456
0.9532,13,59.885354
0.9676,9,59.888721
0.9676,9,59.892143
0.9424,16,59.898148
0.964,10,59.901914
0.9676,9,59.905342
0.946,15,59.910871
0.9712,8,59.9139
0.9244,21,59.921706
0.9604,11,59.92578
0.9388,17,59.932113
0.9316,19,59.939118
0.9496,14,59.944325
0.9712,8,59.947315
0.9568,12,59.951803
0.9316,19,59.958872
0.946,15,59.964439
0.9352,18,59.971098
0.9496,14,59.976279
0.9136,24,59.985118
0.946,15,62.234242
0.9676,9,62.237975
0.9172,23,62.246731
0.9568,12,62.251252
0.946,15,62.25695
0.9244,21,62.264746
0.9532,13,62.269706
0.9208,22,62.278019
0.9676,9,62.281462
0.9352,18,62.288212
0.9496,14,62.293513
0.9568,12,62.298097
0.9532,13,62.302952
0.9388,17,62.309323
0.964,10,62.313147
0.9532,13,62.318024
0.9496,14,62.32328
0.9568,12,62.32796
0.946,15,62.333714
0.9532,13,62.338631
0.9532,13,62.343531
0.964,10,62.348039
0.9568,12,62.352715
0.9712,8,62.355873
0.9496,14,62.361237
0.9352,18,62.368141
0.9676,9,62.37163
0.9532,13,62.37657
0.9352,18,62.383386
0.9532,13,62.388288
0.9496,14,62.393573
0.9532,13,62.398512
0.9388,17,62.404798
0.928,20,62.412265
0.9352,18,62.41897
0.946,15,62.424612
0.9568,12,62.42912
0.9388,17,62.435453
0.9568,12,62.439915
0.9568,12,62.444428
0.9244,21,62.452235
0.9532,13,62.457064
0.9316,19,62.464109
0.9388,17,62.4704
0.9604,11,62.474551
0.9712,8,62.477641
0.9676,9,62.481057
0.9388,17,62.48738
0.9568,12,62.491825
0.9352,18,62.498595
0.9388,17,62.504992
0.9388,17,62.511304
0.9676,9,62.514701
0.9604,11,62.518822
0.9352,18,62.525545
0.9496,14,62.530775
0.9496,14,62.535977
0.9496,14,62.541203
0.9496,14,62.546366
0.964,10,62.550178
0.9352,18,62.556858
0.9748,7,62.559539
0.9496,14,62.564778
0.9568,12,62.569243
0.9532,13,62.574044
0.9424,16,62.579959
0.9676,9,62.583322
0.9352,18,62.58994
0.946,15,62.595542
0.9532,13,62.600385
0.9568,12,62.604898
0.9316,19,62.611887
0.9388,17,62.618227
0.946,15,62.623764
0.9532,13,62.628688
0.946,15,62.634281
0.9496,14,62.639569
0.9208,22,62.647675
0.946,15,62.65321
0.9496,14,62.658481
0.9496,14,62.663774
0.9604,11,62.66793
0.9424,16,62.673873
0.9532,13,62.678746
0.946,15,62.684339
0.9496,14,62.68958
0.9568,12,62.694041
0.9424,16,62.69997
0.9208,22,62.708202
0.9568,12,62.712702
0.9532,13,62.717587
0.946,15,62.723172
0.9604,11,62.727373
0.9496,14,62.73258
0.946,15,62.738138
0.9712,8,62.741164
0.964,10,62.745008
0.946,15,62.750671
0.928,20,62.758076
0.9712,8,62.761102
0.9424,16,62.767002
0.9424,16,62.772978
0.9604,11,62.77708
0.946,15,62.782658
0.9604,11,62.786764
0.946,15,62.792354
0.946,15,62.797937
0.9352,18,62.804585
0.9496,14,62.80975
0.9352,18,62.816493
0.9676,9,62.819855
0.9496,14,62.82512
0.9388,17,62.831469
0.9496,14,62.836746
0.9604,11,62.840935
0.9604,11,62.845125
0.9532,13,62.850022
0.9532,13,62.854955
0.9604,11,62.859069
0.9496,14,62.864226
0.9568,12,62.868704
0.9604,11,62.872901
0.9532,13,62.877806
0.9496,14,62.882978
0.9424,16,62.888948
0.964,10,62.89278
0.9532,13,62.897648
0.9352,18,62.904289
0.946,15,62.90991
0.9496,14,62.915147
0.9424,16,62.921141
0.9568,12,62.925662
0.964,10,62.92945
0.9424,16,62.935395
0.9424,16,62.941338
0.9172,23,62.949841
0.9496,14,62.955046
0.9568,12,62.959584
0.9352,18,62.966221
0.9496,14,62.971412
0.9496,14,62.976618
0.946,15,62.982142
0.9568,12,62.986634
0.9172,23,62.995201
0.946,15,63.000807
0.9496,14,65.229522
0.9532,13,65.234575
0.9244,21,65.24261
0.9532,13,65.24753
0.9604,11,65.251727
0.9676,9,65.255197
0.9676,9,65.258639
0.946,15,65.264279
0.9568,12,65.268874
