#{"t_start": 1765813140.6661708, "env_id": "MiniGrid-DoorKey-5x5-v0"}
r,l,t
0.0,250,0.107299
0.0,250,0.202434
0.0,250,0.316021
0.478,145,0.373839
0.0,250,0.475694
0.4708,147,0.531825
0.0,250,0.62713
0.0,250,0.722261
0.0,250,0.816994
0.0,250,3.401164
0.0,250,3.496739
0.0,250,3.593055
0.0,250,3.689469
0.0,250,3.826001
0.0,250,3.923913
0.0,250,4.019737
0.0,250,4.115083
0.0,250,6.699095
0.712,80,6.729793
0.0,250,6.82484
0.0,250,6.919631
0.0,250,7.015508
0.0,250,7.111141
0.0,250,7.206116
0.0,250,7.300611
0.0,250,7.395543
0.0,250,9.96783
0.514,135,10.019464
0.1396,239,10.110389
0.0,250,10.204116
0.136,240,10.295675
0.0,250,10.390068
0.0,250,10.484707
0.8632,38,10.499572
0.0,250,10.593573
0.0,250,13.187079
0.0,250,13.282896
0.0,250,13.378537
0.6508,97,13.415707
0.0,250,13.510598
0.244,210,13.590264
0.0,250,13.686833
0.0,250,13.781582
0.0,250,13.876474
0.0,250,16.478719
0.0,250,16.573711
0.4816,144,16.629546
0.2296,214,16.711616
0.0,250,16.805971
0.0,250,16.901701
0.1972,223,16.986502
0.6328,102,17.025258
0.0,250,17.119843
0.0,250,17.213982
0.0,250,19.806062
0.7552,68,19.832419
0.4384,156,19.892072
0.6544,96,19.929057
0.0,250,20.023455
0.0,250,20.118676
0.4636,149,20.175052
0.0,250,20.270007
0.0,250,20.36449
0.0,250,20.458923
0.5032,138,22.966163
0.6472,98,23.003947
0.9244,21,23.012186
0.5896,114,23.056056
0.7372,73,23.084424
0.5176,134,23.135463
0.1,250,23.230198
0.0,250,23.325458
0.4852,143,23.37997
0.0,250,23.474321
0.8416,44,23.491425
0.1468,237,23.581536
0.0,250,23.677808
0.1864,226,26.288576
0.0,250,26.384403
0.6292,103,26.423892
0.712,80,26.454241
0.3196,189,26.525559
0.3484,181,26.594333
0.0,250,26.690121
0.0,250,26.785108
0.0,250,26.880305
0.64,100,26.918504
0.8452,43,26.93498
0.7984,56,26.955853
0.7228,77,26.984936
0.0,250,29.538568
0.7984,56,29.560219
0.5824,116,29.604657
0.0,250,29.701751
0.0,250,29.797
0.8704,36,29.81101
0.4312,158,29.87068
0.802,55,29.891475
0.5428,127,29.939489
0.6616,94,29.974758
0.7048,82,30.006114
0.1252,243,30.097427
0.1864,226,30.182693
0.8488,42,30.198503
0.6148,107,30.239142
0.532,130,32.762915
0.532,130,32.812931
0.9136,24,32.822032
0.1144,246,32.914729
0.8596,39,32.929988
0.8812,33,32.942759
0.8812,33,32.955256
0.6256,104,32.994441
0.7336,74,33.022574
0.0,250,33.116531
0.478,145,33.171597
0.7948,57,33.19304
0.6184,106,33.232872
0.0,250,33.327762
0.8992,28,33.338773
0.9532,13,33.343708
0.7552,68,33.369417
0.3664,176,33.435977
0.7552,68,33.461925
0.8056,54,33.482483
0.4528,152,36.035358
0.91,25,36.045121
0.8416,44,36.062062
0.7876,59,36.085194
0.7984,56,36.106728
0.838,45,36.124073
0.8272,48,36.142412
0.7768,62,36.16608
0.7552,68,36.192037
0.802,55,36.212902
0.7372,73,36.240896
0.7336,74,36.269097
0.7228,77,36.298363
0.8992,28,36.309119
0.7192,78,36.338887
0.7552,68,36.364659
0.7372,73,36.39246
0.8452,43,36.409035
0.928,20,36.416864
0.91,25,36.426387
0.7588,67,36.451674
0.8452,43,36.468102
0.8092,53,36.488529
0.2908,197,36.563514
0.7012,83,36.595022
0.9388,17,36.601596
0.8128,52,36.622079
0.8416,44,36.639272
0.7624,66,36.664724
0.8344,46,36.682501
0.7732,63,36.706437
0.7624,66,36.731692
0.91,25,36.741215
0.7948,57,36.7629
0.4816,144,39.291513
0.9244,21,39.299798
0.8416,44,39.316463
0.8848,32,39.328813
0.9424,16,39.334991
0.8092,53,39.355231
0.9136,24,39.364587
0.8236,49,39.383269
0.9388,17,39.389857
0.892,30,39.401358
0.8416,44,39.418037
0.6508,97,39.454395
0.892,30,39.465805
0.856,40,39.48114
0.9028,27,39.491431
0.8128,52,39.511249
0.928,20,39.518978
0.8704,36,39.532737
0.838,45,39.549808
0.8344,46,39.567191
0.8884,31,39.578922
0.8884,31,39.590998
0.928,20,39.598683
0.8776,34,39.611537
0.6112,108,39.653798
0.928,20,39.661678
0.8092,53,39.682129
0.7264,76,39.711402
0.8812,33,39.723769
0.8272,48,39.742003
0.9676,9,39.745549
0.7408,72,39.772983
0.9064,26,39.783049
0.9064,26,39.792844
0.7984,56,39.814475
0.856,40,39.82979
0.8632,38,39.844389
0.8704,36,39.857993
0.6976,84,39.889685
0.9496,14,39.895123
0.8632,38,39.909785
0.9496,14,39.915114
0.838,45,39.932226
0.8884,31,39.944069
0.6616,94,39.979644
0.856,40,39.994913
0.8776,34,40.007935
0.8488,42,40.023846
0.9388,17,40.030367
0.9244,21,40.038416
0.9424,16,40.044463
0.892,30,40.055897
0.8704,36,42.525349
0.91,25,42.535204
0.8452,43,42.551887
0.7516,69,42.578265
0.7552,68,42.604379
0.8632,38,42.618949
0.6976,84,42.652505
0.8848,32,42.66495
0.8992,28,42.67571
0.7984,56,42.697059
