#{"t_start": 1765794537.103598, "env_id": "MiniGrid-Empty-8x8-v0"}
r,l,t
0.2,256,0.129025
0.3,256,0.248858
0.3,256,0.389956
1.60625,112,0.448849
0.6,256,0.578743
0.5,256,0.690038
0.7,256,0.831005
0.6,256,0.952907
0.4,256,4.415306
0.2,256,4.532118
0.0,256,4.64761
0.5,256,4.763884
0.2,256,4.879154
1.412891,167,4.951117
0.5,256,5.061231
0.5,256,5.16872
1.370703,179,5.298961
1.806641,55,8.397089
0.0,256,8.524447
1.321484,193,8.625411
0.7,256,8.755772
1.26875,208,8.851945
0.0,256,8.962611
0.3,256,9.073907
0.6,256,9.178526
0.6,256,9.284756
1.377734,177,12.62456
0.4,256,12.735674
0.5,256,12.847991
0.8,256,12.962698
0.0,256,13.08996
0.1,256,13.221728
0.7,256,13.341623
0.4,256,13.445795
0.0,256,16.621478
0.5,256,16.730681
0.2,256,16.835382
1.708203,83,16.869411
0.7,256,16.972832
1.592187,116,17.019677
0.3,256,17.134097
1.637891,103,17.176184
1.535937,132,17.228659
1.349609,185,17.308434
1.637891,103,17.349746
1.760937,68,17.376573
0.5,256,20.747216
1.567578,123,20.797837
0.5,256,20.902552
1.778516,63,20.928298
1.546484,129,20.980231
1.588672,117,21.026809
1.859375,40,21.042697
1.486719,146,21.101869
1.398828,171,21.1767
1.655469,98,21.216254
0.0,256,21.326621
1.926172,21,21.335383
1.771484,65,21.3616
0.6,256,21.472534
1.796094,58,21.504559
0.4,256,24.886378
1.525391,135,24.947817
1.402344,170,25.0187
0.0,256,25.136469
1.876953,35,25.153033
1.251172,213,25.249925
1.384766,175,25.319781
1.841797,45,25.338482
1.883984,33,25.351438
1.578125,120,25.399031
1.697656,86,25.432982
0.6,256,25.543675
1.223047,221,25.643355
0.0,256,29.022673
1.275781,206,29.109578
1.585156,118,29.157435
1.49375,144,29.220053
1.307422,197,29.309875
1.915625,24,29.32019
1.177344,234,29.42426
0.0,256,29.555906
1.919141,23,29.56625
1.757422,69,29.595786
0.5,256,29.716588
1.500781,142,29.777819
1.254687,212,29.878886
1.838281,46,29.898743
0.5,256,33.200604
0.1,256,33.331094
1.391797,173,33.426226
1.669531,94,33.472063
1.926172,21,33.482587
1.8875,32,33.499287
1.644922,101,33.549604
1.55,128,33.606895
1.883984,33,33.623785
1.739844,74,33.659811
1.922656,22,33.669543
1.261719,210,33.771743
1.444531,158,33.842831
1.799609,57,33.867635
0.1,256,33.97862
0.2,256,37.282703
1.848828,43,37.302974
1.564062,124,37.356676
1.873437,36,37.372853
1.929688,20,37.381506
1.247656,214,37.484201
1.883984,33,37.502847
1.701172,85,37.544612
1.933203,19,37.552691
1.806641,55,37.576399
1.883984,33,37.590506
1.412891,167,37.662197
1.933203,19,37.670164
1.908594,26,37.681575
1.901563,28,37.693198
1.574609,121,37.753362
1.2125,224,37.856629
0.8,256,37.969209
1.201953,227,38.096336
1.855859,41,38.118794
1.599219,114,38.184482
1.426953,163,41.525678
1.739844,74,41.561321
1.873437,36,41.57729
1.933203,19,41.585693
1.388281,174,41.665781
1.690625,88,41.706986
1.173828,235,41.842808
1.891016,31,41.859542
1.60625,112,41.919937
1.753906,70,41.954678
0.1,256,42.079507
1.869922,37,42.095625
1.764453,67,42.129386
1.919141,23,42.141361
1.919141,23,42.153416
1.553516,127,42.213048
1.876953,35,42.228013
1.60625,112,42.275119
1.613281,110,42.339738
1.743359,73,42.375957
0.5,256,42.506061
1.764453,67,42.548246
1.180859,233,46.077625
1.936719,18,46.085426
1.891016,31,46.098812
1.891016,31,46.112185
1.94375,16,46.119311
1.486719,146,46.189493
0.0,256,46.304438
1.370703,179,46.384459
1.827734,49,46.412606
1.8875,32,46.428438
1.739844,74,46.464165
1.778516,63,46.491513
1.912109,25,46.502169
1.511328,139,46.561374
0.0,256,46.672677
1.827734,49,46.694065
0.2,256,46.806065
0.0,256,49.937118
1.321484,193,50.021562
1.908594,26,50.032728
1.644922,101,50.076954
0.2,256,50.186402
1.683594,90,50.22555
1.711719,82,50.260417
1.789062,60,50.286417
1.915625,24,50.296577
1.38125,176,50.371653
1.912109,25,50.382203
1.922656,22,50.391989
1.905078,27,50.403529
1.736328,75,50.435827
1.954297,13,50.441506
1.883984,33,50.455569
1.933203,19,50.463752
1.8875,32,50.477199
1.806641,55,50.500534
1.926172,21,50.509211
1.880469,34,50.523969
1.261719,210,50.613324
0.0,256,50.724005
0.0,256,53.959943
1.845312,44,53.979015
1.901563,28,53.990898
1.708203,83,54.025912
1.560547,125,54.079851
1.898047,29,54.092196
1.623828,107,54.137992
1.933203,19,54.146192
1.595703,115,54.197388
1.578125,120,54.248589
0.2,256,54.359385
1.370703,179,54.436837
1.922656,22,54.446325
1.862891,39,54.462808
1.898047,29,54.475352
0.5,256,54.585386
1.775,64,54.612625
1.687109,89,54.649505
1.83125,48,54.66968
1.609766,111,54.716636
1.729297,77,54.749437
1.954297,13,54.755067
1.356641,183,57.813146
1.845312,44,57.832199
1.859375,40,57.850211
1.929688,20,57.858699
1.736328,75,57.891154
1.26875,208,57.980804
1.936719,18,57.988661
1.159766,239,58.090826
1.926172,21,58.099739
1.546484,129,58.154892
