#{"t_start": 1765794196.155021, "env_id": "MiniGrid-Empty-8x8-v0"}
r,l,t
0.0,256,0.110864
0.0,256,0.201909
0.0,256,0.290203
0.627344,106,0.325837
0.497266,143,0.376587
0.0,256,0.465223
0.0,256,0.5518
0.170312,236,0.63217
0.0,256,0.717242
0.0,256,3.125197
0.0,256,3.212616
0.0,256,3.300358
0.0,256,3.39167
0.634375,104,3.427585
0.0,256,3.513495
0.574609,121,3.554809
0.244141,215,3.626709
0.356641,183,3.687842
0.690625,88,3.717082
0.261719,210,6.166445
0.0,256,6.265314
0.497266,143,6.314624
0.0,256,6.400196
0.0,256,6.486328
0.0,256,6.575754
0.0,256,6.671082
0.0,256,6.760149
0.0,256,9.255553
0.0,256,9.342806
0.789062,60,9.363166
0.0,256,9.453767
0.771484,65,9.478905
0.0,256,9.57379
0.0,256,9.668435
0.0,256,9.756939
0.0,256,9.84725
0.753906,70,9.871063
0.592187,116,9.909769
0.430469,162,9.964256
0.71875,80,12.473895
0.0,256,12.574504
0.687109,89,12.607179
0.0,256,12.733913
0.353125,184,12.806439
0.0,256,12.905935
0.0,256,12.993276
0.0,256,13.081788
0.0,256,13.178518
0.223047,221,15.584774
0.0,256,15.672125
0.0,256,15.763136
0.332031,190,15.829375
0.0,256,15.915617
0.110547,253,16.000127
0.247656,214,16.07164
0.237109,217,16.144012
0.0,256,16.230057
0.398828,171,18.928527
0.258203,211,19.000926
0.873437,36,19.013046
0.60625,112,19.051471
0.0,256,19.138638
0.107031,254,19.224661
0.2125,224,19.300207
0.0,256,19.388391
0.753906,70,19.412264
0.0,256,19.499263
0.55,128,19.542515
0.876953,35,19.554117
0.641406,102,19.588334
0.0,256,21.992909
0.479687,148,22.043653
0.430469,162,22.098345
0.0,256,22.184944
0.433984,161,22.240125
0.0,256,22.325914
0.574609,121,22.367146
0.272266,207,22.436849
0.377734,177,22.496375
0.0,256,22.582554
0.289844,202,25.050186
0.398828,171,25.108331
0.729297,77,25.13407
0.138672,245,25.216887
0.0,256,25.303396
0.940234,17,25.309289
0.648438,100,25.342893
0.497266,143,25.39083
0.0,256,25.477195
0.6625,96,25.509704
0.806641,55,25.527913
0.785547,61,25.548286
0.479687,148,25.597378
0.673047,93,25.629075
0.483203,147,25.678415
0.279297,205,28.117184
0.486719,146,28.167683
0.317969,194,28.232622
0.0,256,28.318686
0.226562,220,28.393633
0.293359,201,28.459972
0.796094,58,28.479407
